time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,MidLine,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1511188200,5.30475,5.3185,5.26275,5.299,5.30475,5.3185,5.26275,5.299,5.344716107782385,5.400288306045723,5.289143909519047,5.455860504309061,5.233571711255709,5.511432702572399,5.177999512992371,0,0,0,0,50.10730342058686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511191800,5.29875,5.33875,5.296,5.33525,5.29875,5.33875,5.296,5.33525,5.344348698755756,5.3995114247620455,5.289185972749466,5.454674150768335,5.234023246743176,5.509836876774625,5.178860520736886,0,0,0,0,55.89160355423641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511195400,5.333,5.36425,5.33225,5.34925,5.333,5.36425,5.33225,5.34925,5.344406335095278,5.399194570426837,5.289618099763719,5.453982805758396,5.23482986443216,5.508771041089955,5.180041629100601,0,0,0,0,57.920630320509325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511199000,5.35,5.35775,5.336,5.3555,5.35,5.35775,5.336,5.3555,5.3444510753441845,5.3990116418288165,5.2898905088595525,5.453572208313449,5.23532994237492,5.508132774798081,5.180769375890288,0,0,0,0,58.83111424995619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511202600,5.35625,5.36225,5.32925,5.34425,5.35625,5.36225,5.32925,5.34425,5.34445924036331,5.398740345503888,5.290178135222733,5.453021450644465,5.235897030082155,5.507302555785043,5.181615924941577,0,0.002581412385350923,0.0017209415902339487,0.0008604707951169743,56.46288724269587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511206200,5.3435,5.35475,5.33625,5.34775,5.3435,5.35475,5.33625,5.34775,5.344479621729178,5.398451279485983,5.290507963972373,5.452422937242789,5.236536306215568,5.506394594999594,5.182564648458762,0,0.006084563871843862,0.0031959051194456003,0.002888658752398262,57.04225975727977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511209800,5.34825,5.356,5.3415,5.3505,5.34825,5.356,5.3415,5.3505,5.3445465887839765,5.398147617940876,5.290945559627077,5.451748647097776,5.237344530470177,5.505349676254675,5.183743501313278,0,0.00924165464166471,0.003272444342044878,0.0059692102996198315,57.520588075015155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511274600,5.39275,5.413,5.36125,5.41025,5.39275,5.413,5.36125,5.41025,5.346202395008831,5.399671931354454,5.292732858663208,5.4531414677000765,5.239263322317585,5.506611004045699,5.1857937859719625,0,0.01868732388252159,0.007349476417178202,0.011337847465343387,66.30062609208045,NaN,NaN,NaN,NaN,66.30062609208045,NaN,66.30062609208045,NaN
1511278200,5.4095,5.4095,5.38575,5.396,5.4095,5.4095,5.38575,5.396,5.34678194397257,5.400219558785218,5.293344329159923,5.453657173597866,5.239906714347275,5.507094788410513,5.186469099534627,0,0.026252027618824947,0.008191692237821197,0.01806033538100375,62.95841903097617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1511281800,5.39475,5.39475,5.37275,5.37275,5.39475,5.39475,5.37275,5.37275,5.34708073016379,5.400370678763756,5.293790781563824,5.453660627363722,5.240500832963858,5.506950575963688,5.187210884363892,0,0.028348193579203596,0.003919011885686885,0.02442918169351671,57.83565710203646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
